Path_1,Path_2,Path_3,Path_4,Path_5
102813.3367174472,97164.28001940057,115837.8048038889,100998.82162045073,124130.61059974866
101366.63743318163,97176.49031033056,118812.93256430946,100586.62441393075,123422.91090516328
100066.40796776953,97511.20066278307,118395.66451152155,101443.03440610338,125048.08802721281
99108.5254520033,96832.25638695437,117805.21124760428,102134.18749662042,126164.98773586188
99544.37920342684,96898.41871593395,116545.37754356902,103366.50503666009,125911.7247183843
98682.84345063298,95386.85247843647,116835.15819221584,103065.68247816883,124476.4602863921
98349.13502682163,96769.87238298428,117118.27102179968,104346.30199574455,124094.40492974069
99666.25447372864,96148.98279930992,116214.94209004292,102964.75999799608,124851.57029190601
99351.04601952185,98140.61298744768,116058.13340580999,101576.3993386312,125137.02555869754
100123.51586975851,98147.99873208653,113808.15421983889,100384.0938505236,125323.60241669093
99228.79443009886,99196.27193191253,114907.96975935761,100433.49456224083,125639.04036929664
99064.63273589223,99183.07598181332,114068.36105661564,101681.2583203964,126642.64028905703
98163.12272937942,99192.25653369538,114074.4564689795,101109.66517925357,126640.28574394068
97869.5825240817,98652.62156186724,112492.59348574294,100668.12593963415,127260.84017778633
98731.13642313678,98809.60148971934,111882.48585584533,100490.93196270698,126055.7828382051
97065.2257942193,99163.33857300824,111614.42531739922,101106.7686552288,129325.48174077619
97525.72617504824,98425.30698795426,111646.46887357738,100664.29985218936,129010.10950130066
97796.58983806944,98341.60176056805,112226.73187474608,100167.60512615075,129324.36910750926
97254.65007880882,97780.95740406866,113886.64950291633,98860.02195341514,130108.67682129357
95887.19343261771,100068.70333137702,114766.66410597875,98334.3623461745,129626.24619183032
95994.71127057435,100018.93839476976,115916.81492100064,99531.54559773202,129688.23967736487
95524.82415781805,101604.47076398924,117639.45947165681,99661.85827756007,129734.50631306731
95785.29762923482,101446.3515183815,118356.71652783621,98964.37026740769,128600.57730867909
95844.5428909145,101749.96791126407,118360.61378298326,100227.29811372435,129216.04607286137
97418.09836458055,100446.18037953853,119602.34907449709,99680.84535165821,127136.67324092242
97223.88990331357,100037.2915096353,120933.53432592451,101136.14141504503,129415.86311552004
96267.69538388503,100287.91960858543,121766.24132993777,102596.14980969152,130493.85957581583
96478.78698419586,101918.60502341099,120043.70247621088,102694.6540417216,131380.07255155998
96729.62863109096,102185.61421582021,119081.60003456456,101196.80165056008,129151.02291330487
98083.05757647341,103640.45161162099,118801.93200973823,103554.1817677201,128179.12443403101
98941.39344366199,104345.96233568704,119775.65761753042,103996.64399167424,130011.24649501947
99334.06319975916,106085.8283093496,119798.00006675789,103701.411013237,135460.3316789259
100827.355043807,106065.62721539308,121207.86515304465,104734.40971635545,137132.85018730685
99669.0876404128,108643.25817617684,122850.51853851769,105511.8561586503,138609.69338068835
99071.32075961174,108159.36522953796,124372.84588486384,106937.25628717455,139392.80242595734
98192.97826492434,107373.62872103488,125921.96013155839,106271.73463739637,138267.20945534593
97849.48960094302,106117.3005183699,124666.52586441998,106652.6905513656,139698.51577319196
96541.54902799266,108633.36789445186,125318.07738452565,105430.58912058223,138216.02487399135
97193.35021032445,109567.01473787377,124606.86090180148,106175.28163517351,136598.08859097038
97016.24186617055,109244.75543058383,122601.853856467,106193.38943700367,134913.1111102123
95628.12737085944,110652.94512322801,122298.44966080696,106534.2800458116,136283.45413285858
94695.19936447883,111458.15795749241,123967.50181171703,106420.98113318745,136259.7216572988
95029.96000710283,113694.15068336685,124588.25917218268,106196.44476023597,136451.65451216025
95864.44333338462,111979.83295045825,127152.04804534849,105316.8926990364,136485.21624699945
97816.94406490403,111727.475077631,127428.26062402879,106191.47599717576,135003.3736779156
